"";"index";"rainfalls_values";"station"
"1";"chirps-v2.0.2010.01";43,7907638549805;"49.98546_2.42236"
"2";"chirps-v2.0.2010.02";75,2002563476562;"49.98546_2.42236"
"3";"chirps-v2.0.2010.03";45,12109375;"49.98546_2.42236"
"4";"chirps-v2.0.2010.04";26,630973815918;"49.98546_2.42236"
"5";"chirps-v2.0.2010.05";41,4293212890625;"49.98546_2.42236"
"6";"chirps-v2.0.2010.06";38,8949661254883;"49.98546_2.42236"
"7";"chirps-v2.0.2010.07";68,3007431030273;"49.98546_2.42236"
"8";"chirps-v2.0.2010.08";111,06307220459;"49.98546_2.42236"
"9";"chirps-v2.0.2010.09";70,139289855957;"49.98546_2.42236"
"10";"chirps-v2.0.2010.10";55,7342224121094;"49.98546_2.42236"
"11";"chirps-v2.0.2010.11";84,9244232177734;"49.98546_2.42236"
"12";"chirps-v2.0.2010.12";53,3161354064941;"49.98546_2.42236"
"13";"chirps-v2.0.2011.01";76,2786636352539;"49.98546_2.42236"
"14";"chirps-v2.0.2011.02";39,6893692016602;"49.98546_2.42236"
"15";"chirps-v2.0.2011.03";21,7468566894531;"49.98546_2.42236"
"16";"chirps-v2.0.2011.04";23,2309303283691;"49.98546_2.42236"
"17";"chirps-v2.0.2011.05";16,2162742614746;"49.98546_2.42236"
"18";"chirps-v2.0.2011.06";73,0589141845703;"49.98546_2.42236"
"19";"chirps-v2.0.2011.07";77,954460144043;"49.98546_2.42236"
"20";"chirps-v2.0.2011.08";113,154937744141;"49.98546_2.42236"
"21";"chirps-v2.0.2011.09";84,1786346435547;"49.98546_2.42236"
"22";"chirps-v2.0.2011.10";41,3631629943848;"49.98546_2.42236"
"23";"chirps-v2.0.2011.11";40,5064964294434;"49.98546_2.42236"
"24";"chirps-v2.0.2011.12";117,693740844727;"49.98546_2.42236"
"25";"chirps-v2.0.2012.01";57,496940612793;"49.98546_2.42236"
"26";"chirps-v2.0.2012.02";24,9719982147217;"49.98546_2.42236"
"27";"chirps-v2.0.2012.03";43,7810974121094;"49.98546_2.42236"
"28";"chirps-v2.0.2012.04";64,2228546142578;"49.98546_2.42236"
"29";"chirps-v2.0.2012.05";53,8632888793945;"49.98546_2.42236"
"30";"chirps-v2.0.2012.06";133,13671875;"49.98546_2.42236"
"31";"chirps-v2.0.2012.07";111,767539978027;"49.98546_2.42236"
"32";"chirps-v2.0.2012.08";34,8403472900391;"49.98546_2.42236"
"33";"chirps-v2.0.2012.09";61,3999862670898;"49.98546_2.42236"
"34";"chirps-v2.0.2012.10";118,886245727539;"49.98546_2.42236"
"35";"chirps-v2.0.2012.11";72,5709533691406;"49.98546_2.42236"
"36";"chirps-v2.0.2012.12";123,89380645752;"49.98546_2.42236"
"37";"chirps-v2.0.2013.01";61,0361442565918;"49.98546_2.42236"
"38";"chirps-v2.0.2013.02";55,4545631408691;"49.98546_2.42236"
"39";"chirps-v2.0.2013.03";34,8093032836914;"49.98546_2.42236"
"40";"chirps-v2.0.2013.04";27,9307975769043;"49.98546_2.42236"
"41";"chirps-v2.0.2013.05";69,3026428222656;"49.98546_2.42236"
"42";"chirps-v2.0.2013.06";81,3874359130859;"49.98546_2.42236"
"43";"chirps-v2.0.2013.07";62,9489517211914;"49.98546_2.42236"
"44";"chirps-v2.0.2013.08";66,7453994750977;"49.98546_2.42236"
"45";"chirps-v2.0.2013.09";52,4947547912598;"49.98546_2.42236"
"46";"chirps-v2.0.2013.10";74,9835433959961;"49.98546_2.42236"
"47";"chirps-v2.0.2013.11";96,8010864257812;"49.98546_2.42236"
"48";"chirps-v2.0.2013.12";75,8173294067383;"49.98546_2.42236"
"49";"chirps-v2.0.2014.01";72,6168441772461;"49.98546_2.42236"
"50";"chirps-v2.0.2014.02";90,1303939819336;"49.98546_2.42236"
"51";"chirps-v2.0.2014.03";42,2222938537598;"49.98546_2.42236"
"52";"chirps-v2.0.2014.04";54,2817344665527;"49.98546_2.42236"
"53";"chirps-v2.0.2014.05";82,4694976806641;"49.98546_2.42236"
"54";"chirps-v2.0.2014.06";88,3149642944336;"49.98546_2.42236"
"55";"chirps-v2.0.2014.07";107,883361816406;"49.98546_2.42236"
"56";"chirps-v2.0.2014.08";103,67236328125;"49.98546_2.42236"
"57";"chirps-v2.0.2014.09";36,5116729736328;"49.98546_2.42236"
"58";"chirps-v2.0.2014.10";88,5208892822266;"49.98546_2.42236"
"59";"chirps-v2.0.2014.11";56,8466987609863;"49.98546_2.42236"
"60";"chirps-v2.0.2014.12";66,1072158813477;"49.98546_2.42236"
